"Suburb","avg_price","count","lat","lon"
"Oak Park",837478.6,65,-37.7172772307692,144.916683076923
"Oakleigh",1107255.10204082,49,-37.9017867346939,145.096977755102
"Oakleigh East",1152083.33333333,12,-37.90489,145.1169775
"Oakleigh South",999655.421875,64,-37.9238128125,145.09099734375
"Officer",559000,1,-38.07054,145.42554
"Ormond",1091678.16091954,87,-37.9038575862069,145.041948850575
"Pakenham",482750,4,-38.074225,145.47121
"Parkdale",1115080.88235294,34,-37.9924835294118,145.082224411765
"Parkville",1332112.5,32,-37.7868153125,144.9541684375
"Pascoe Vale",773308.333333333,180,-37.7244349444444,144.938726
"Patterson Lakes",670000,2,-38.07868,145.14743
"Plumpton",625500,1,-37.71429,144.72492
"Point Cook",655950,20,-37.899558,144.738768
"Port Melbourne",1220454.81927711,166,-37.8383409638554,144.939463313253
"Prahran",1109624.42748092,131,-37.8524019847328,144.999951374046
"Preston",896942.063492064,252,-37.7404340079365,145.004615793651
"Princes Hill",1734600,5,-37.78291,144.967192
"Reservoir",689462.720403023,397,-37.7139569521411,145.009615969773
"Richmond",1102376.74825175,286,-37.8203779020979,145.001685244755
"Riddells Creek",892250,2,-37.455095,144.681675
"Ringwood",988413,23,-37.8078765217391,145.235220869565
"Ringwood East",946500,16,-37.8102575,145.251415
"Ringwood North",932454.545454545,11,-37.7965263636364,145.22778
"Ripponlea",758050,10,-37.878424,144.995338
"Rockbank",340000,1,-37.73289,144.66615
"Rosanna",995985.294117647,68,-37.7393391176471,145.069440294118
"Rowville",892753.846153846,13,-37.92341,145.254723076923
"Roxburgh Park",494635,20,-37.6253195,144.9276745
"Sandhurst",655000,2,-38.083565,145.19532
"Sandringham",1658810.34482759,29,-37.9538006896552,145.01662137931
"Scoresby",958225,8,-37.89144375,145.22554875
"Seabrook",581666.666666667,3,-37.8786266666667,144.755746666667
"Seaford",722264.705882353,17,-38.1052235294118,145.139035882353
"Seaholme",1155357.14285714,7,-37.8646742857143,144.843155714286
"Seddon",981572.463768116,69,-37.8062433333333,144.891129275362
"Silvan",1077500,2,-37.83984,145.450275
"Skye",597849,2,-38.098125,145.20045
"South Kingsville",746445.652173913,23,-37.8303069565217,144.870549130435
"South Melbourne",1346010.41666667,96,-37.8354260416667,144.960819479167
"South Morang",637379.310344828,29,-37.6362131034483,145.084108965517
"South Yarra",1017399.11894273,227,-37.8393247136564,144.992856696035
"Southbank",621011.111111111,45,-37.8263902222222,144.964872222222
"Spotswood",935810.344827586,29,-37.8282434482759,144.88003
"Springvale",810423.076923077,13,-37.9460015384615,145.154584615385
"Springvale South",766666.666666667,3,-37.9760066666667,145.15348
"St Albans",606210.344827586,29,-37.7431351724138,144.803519655172
"St Helena",1004000,4,-37.688815,145.13175
"St Kilda",844844.859813084,214,-37.8640785514019,144.98230453271
"Strathmore",1183757.35294118,68,-37.7324998529412,144.916245441176
"Strathmore Heights",953666.5,6,-37.7134933333333,144.897195
"Sunbury",532272.222222222,45,-37.5767884444444,144.720383777778
"Sunshine",719771.177966102,118,-37.788031440678,144.83708059322
"Sunshine North",657591.666666667,72,-37.7687331944444,144.835903055556
"Sunshine West",595614.285714286,91,-37.7923173626374,144.809233956044
"Surrey Hills",1559840.57971015,138,-37.8265744202899,145.098402536232
"Sydenham",607928.571428571,7,-37.7022571428571,144.764314285714
"Tarneit",490416.666666667,12,-37.8501908333333,144.6716975
"Taylors Hill",646000,9,-37.7155022222222,144.752261111111
"Taylors Lakes",714500,26,-37.6990880769231,144.788166923077
"Templestowe",1531961.53846154,26,-37.7590573076923,145.149110769231
"Templestowe Lower",1192546.39175258,97,-37.7651617525773,145.112650618557
"The Basin",584550,4,-37.8597175,145.3094875
"Thomastown",631969.696969697,33,-37.6797642424242,145.013846363636
"Thornbury",960845.284768212,151,-37.7579365562914,145.004652715232
"Toorak",1464493.75892857,112,-37.8424801785714,145.014491964286
"Travancore",1010450,10,-37.781741,144.936368
"Truganina",490335.714285714,7,-37.8442228571429,144.718904285714
"Tullamarine",581880,25,-37.6995824,144.8779656
"Upwey",575000,1,-37.91732,145.33501
"Vermont",1022093.75,16,-37.83628625,145.199283125
"Vermont South",1186470.58823529,17,-37.8536864705882,145.186137058824
"Viewbank",951098.837209302,43,-37.7354793023256,145.089884418605
"Wallan",366000,1,-37.40853,144.97749
"Wantirna",980928.571428571,14,-37.852205,145.232567142857
"Wantirna South",1098391.30434783,23,-37.8740939130435,145.232906086957
"Warrandyte",1162666.66666667,6,-37.74413,145.210636666667
"Waterways",1248500,2,-38.01346,145.130475
"Watsonia",753880,60,-37.7115558333333,145.081846166667
"Watsonia North",763500,10,-37.70007,145.087115
"Werribee",509298.214285714,56,-37.8930033928571,144.658626785714
"West Footscray",776781.25,112,-37.7972689285714,144.871586428571
"West Melbourne",1046750,36,-37.8083633333333,144.94773
"Westmeadows",614305.555555556,18,-37.6776327777778,144.88829
"Wheelers Hill",1228178.125,32,-37.90830625,145.1823528125
"Whittlesea",520500,2,-37.51278,145.123915
"Williams Landing",532500,2,-37.85467,144.739765
"Williamstown",1292594.59459459,111,-37.8600006306306,144.893155675676
"Williamstown North",870868.421052632,19,-37.8559468421053,144.881074736842
"Windsor",981609.375,64,-37.855385625,144.99583515625
"Wollert",501811.111111111,9,-37.6141322222222,145.032563333333
"Wonga Park",9e+05,1,-37.75912,145.28886
"Wyndham Vale",497375,8,-37.87910375,144.60934125
"Yallambie",850365.384615385,26,-37.7258619230769,145.095626538462
"Yarra Glen",620000,1,-37.65391,145.37389
"Yarraville",984282.023529412,170,-37.8167956470588,144.884203529412
